,0,1,2,3
202410010607,馬連,6-13,920,2
202410010607,ワイド,6-13,300,2
202410010607,ワイド,6-11,180,1
202410010607,ワイド,11-13,580,6
202410010607,馬単,6→13,1090,2
202410010607,三連複,6-11-13,1150,1
202410010607,三連単,6→13→11,4660,6
202410010608,単勝,6,2340,6
202410010608,複勝,6,570,7
202410010608,複勝,3,160,1
202410010608,複勝,4,610,9
202410010608,枠連,3-4,1860,9
202410010608,馬連,3-6,2870,11
202410010608,ワイド,3-6,1030,12
202410010608,ワイド,4-6,8950,53
202410010608,ワイド,3-4,1570,15
202410010608,馬単,6→3,8660,28
202410010608,三連複,3-4-6,25300,82
202410010608,三連単,6→3→4,179600,482
202410010609,単勝,10,480,3
